,animal_id,animal_type,animal_breed,kennel_status,intake_type,intake_subtype,intake_date,intake_condition,outcome_type,outcome_date,outcome_condition,month,year
78194,A1027592,CAT,DOMESTIC SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-21T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-26T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
78109,A1027496,CAT,DOMESTIC SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-20T00:00:00.000,TREATABLE MANAGEABLE NON-CONTAGIOUS,ADOPTION,2018-04-23T00:00:00.000,TREATABLE MANAGEABLE NON-CONTAGIOUS,APR.2018,FY2018
78883,A1028286,CAT,DOMESTIC SH,AVAILABLE,STRAY,CONFINED,2018-04-27T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-30T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
78100,A1027485,CAT,DOMESTIC SH,AVAILABLE,CONFISCATED,KEEP SAFE,2018-04-20T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-05-05T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
78149,A1027539,CAT,DOMESTIC SH,UNAVAILABLE,STRAY,AT LARGE,2018-04-20T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-24T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
78148,A1027538,CAT,DOMESTIC SH,AVAILABLE,STRAY,AT LARGE,2018-04-20T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-05-05T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
78614,A1028016,CAT,DOMESTIC SH,UNAVAILABLE,STRAY,AT LARGE,2018-04-25T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-30T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
78884,A1028287,CAT,DOMESTIC SH,UNAVAILABLE,STRAY,CONFINED,2018-04-27T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-05-01T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76815,A1026201,CAT,DOMESTIC SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-06T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-10T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76482,A1025874,CAT,DOMESTIC LH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-03T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-05T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76481,A1025873,CAT,DOMESTIC SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-03T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-21T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76490,A1025882,CAT,DOMESTIC SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-03T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-29T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76804,A1026190,CAT,MAINE COON,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-06T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-09T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76847,A1026237,CAT,DOMESTIC MH,UNAVAILABLE,STRAY,AT LARGE,2018-04-06T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-10T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76848,A1026238,CAT,DOMESTIC MH,UNAVAILABLE,STRAY,AT LARGE,2018-04-06T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-10T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76795,A1026183,CAT,DOMESTIC SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-09T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-15T00:00:00.000,HEALTHY,APR.2018,FY2018
78812,A1028224,CAT,DOMESTIC SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-27T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-05-06T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76504,A1025891,CAT,DOMESTIC SH,IMPOUNDED,OWNER SURRENDER,GENERAL,2018-04-03T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-03T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76787,A1026176,CAT,DOMESTIC SH,UNAVAILABLE,STRAY,AT LARGE,2018-04-06T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-18T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76788,A1026177,CAT,DOMESTIC SH,UNAVAILABLE,STRAY,AT LARGE,2018-04-06T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-10T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76789,A1026178,CAT,DOMESTIC SH,UNAVAILABLE,STRAY,AT LARGE,2018-04-06T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-10T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76931,A1026316,CAT,DOMESTIC SH,UNAVAILABLE,STRAY,AT LARGE,2018-04-07T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-30T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76934,A1026319,CAT,DOMESTIC SH,UNAVAILABLE,STRAY,AT LARGE,2018-04-07T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-13T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
78816,A1028228,CAT,DOMESTIC SH,AVAILABLE,OWNER SURRENDER,GENERAL,2018-04-27T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-30T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76958,A1026345,CAT,DOMESTIC SH,AVAILABLE,OWNER SURRENDER,GENERAL,2018-04-07T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-24T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
78814,A1028227,CAT,DOMESTIC SH,AVAILABLE,OWNER SURRENDER,GENERAL,2018-04-27T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-05-14T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76882,A1026270,CAT,DOMESTIC SH,UNAVAILABLE,STRAY,AT LARGE,2018-04-07T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-15T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76901,A1026287,CAT,DOMESTIC SH,UNAVAILABLE,STRAY,AT LARGE,2018-04-07T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-13T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76885,A1026273,CAT,DOMESTIC SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-07T00:00:00.000,TREATABLE REHABILITABLE CONTAGIOUS,ADOPTION,2018-04-13T00:00:00.000,TREATABLE REHABILITABLE CONTAGIOUS,APR.2018,FY2018
60841,A1010038,CAT,DOMESTIC SH,IMPOUNDED,FOSTER,GENERAL,2018-04-04T00:00:00.000,HEALTHY,ADOPTION,2018-04-04T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
60203,A1001929,CAT,DOMESTIC SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-18T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-26T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76593,A1025977,CAT,DOMESTIC SH,UNAVAILABLE,STRAY,AT LARGE,2018-04-04T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-09T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76637,A1026025,CAT,DOMESTIC MH,UNAVAILABLE,STRAY,AT LARGE,2018-04-04T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-09T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
60181,A1001559,CAT,DOMESTIC SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-15T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-21T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76636,A1026024,CAT,DOMESTIC SH,AVAILABLE,OWNER SURRENDER,GENERAL,2018-04-04T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-30T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
60110,A1000105,CAT,DOMESTIC SH,AVAILABLE,OWNER SURRENDER,GENERAL,2018-04-07T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-09T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76723,A1026110,CAT,DOMESTIC SH,AVAILABLE,OWNER SURRENDER,GENERAL,2018-04-05T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-26T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
78842,A1028256,CAT,DOMESTIC SH,UNAVAILABLE,STRAY,AT LARGE,2018-04-27T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-05-04T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76692,A1026077,CAT,DOMESTIC SH,AVAILABLE,STRAY,AT LARGE,2018-04-05T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-10T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
76404,A1025801,CAT,DOMESTIC SH,UNAVAILABLE,STRAY,CONFINED,2018-04-02T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-21T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77274,A1026661,CAT,DOMESTIC SH,UNAVAILABLE,STRAY,AT LARGE,2018-04-11T00:00:00.000,TREATABLE MANAGEABLE NON-CONTAGIOUS,ADOPTION,2018-04-17T00:00:00.000,TREATABLE MANAGEABLE NON-CONTAGIOUS,APR.2018,FY2018
77056,A1026444,CAT,DOMESTIC SH,AVAILABLE,OWNER SURRENDER,GENERAL,2018-04-09T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-13T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77055,A1026443,CAT,DOMESTIC SH,AVAILABLE,CONFISCATED,KEEP SAFE,2018-04-09T00:00:00.000,TREATABLE MANAGEABLE NON-CONTAGIOUS,ADOPTION,2018-04-21T00:00:00.000,TREATABLE MANAGEABLE NON-CONTAGIOUS,APR.2018,FY2018
77054,A1026442,CAT,DOMESTIC SH,UNAVAILABLE,CONFISCATED,KEEP SAFE,2018-04-09T00:00:00.000,TREATABLE MANAGEABLE NON-CONTAGIOUS,ADOPTION,2018-04-23T00:00:00.000,TREATABLE MANAGEABLE NON-CONTAGIOUS,APR.2018,FY2018
77053,A1026441,CAT,DOMESTIC SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-09T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-13T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
60746,A1009370,CAT,DOMESTIC SH,IMPOUNDED,FOSTER,GENERAL,2018-04-04T00:00:00.000,HEALTHY,ADOPTION,2018-04-04T00:00:00.000,UNHEALTHY UNTREATABLE NON-CONTAGIOUS,APR.2018,FY2018
77040,A1026432,CAT,DOMESTIC SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2018-04-09T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-12T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
77095,A1026476,CAT,DOMESTIC MH,IMPOUNDED,STRAY,CONFINED,2018-04-09T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2018-04-13T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2018,FY2018
119622,A1063490,CAT,DOMESTIC SH,UNAVAILABLE,STRAY,AT LARGE,2019-04-08T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2019-04-12T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2019,FY2019
119215,A1063142,CAT,DOMESTIC MH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2019-04-20T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2019-04-22T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2019,FY2019
120992,A1064657,CAT,DOMESTIC SH,UNAVAILABLE,STRAY,AT LARGE,2019-04-19T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2019-04-23T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2019,FY2019
119599,A1063475,CAT,DOMESTIC SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2019-04-08T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2019-04-14T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2019,FY2019
120996,A1064661,CAT,DOMESTIC SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2019-04-19T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2019-04-22T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2019,FY2019
120995,A1064660,CAT,DOMESTIC SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2019-04-19T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2019-05-18T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2019,FY2019
120970,A1064633,CAT,DOMESTIC SH,UNAVAILABLE,OWNER SURRENDER,GENERAL,2019-04-19T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2019-05-11T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2019,FY2019
119619,A1063486,CAT,DOMESTIC MH,UNAVAILABLE,STRAY,AT LARGE,2019-04-08T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2019-04-12T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2019,FY2019
121012,A1064671,CAT,SIAMESE,UNAVAILABLE,STRAY,AT LARGE,2019-04-19T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2019-04-26T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2019,FY2019
121016,A1064675,CAT,DOMESTIC SH,UNAVAILABLE,OWNER SURRENDER,RETURN30,2019-04-30T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2019-05-11T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2019,FY2019
121403,A1065098,CAT,DOMESTIC SH,UNAVAILABLE,STRAY,AT LARGE,2019-04-23T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,ADOPTION,2019-04-28T00:00:00.000,TREATABLE REHABILITABLE NON-CONTAGIOUS,APR.2019,FY2019
