date,State,Status of Reopening,Stay at Home Order,Buisness Closures
2020-06-25,Texas,na,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-25,Michigan,na,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-06-25,California,na,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-25,New York,na,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-26,California,na,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-26,Texas,na,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-26,New York,na,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-26,Michigan,na,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-06-30,Texas,na,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-30,Michigan,na,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-06-30,California,na,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-06-30,New York,na,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-07-01,California,New Restrictions Imposed,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-07-01,Michigan,Paused,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-07-01,New York,Proceeding with Reopening,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-07-01,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-07-07,New York,Proceeding with Reopening,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-07-07,Michigan,Paused,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-07-07,California,New Restrictions Imposed,Statewide,New Business Closures or Limits
2020-07-07,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-07-08,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-07-08,California,New Restrictions Imposed,Statewide,New Business Closures or Limits
2020-07-08,Michigan,Paused,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-07-08,New York,Proceeding with Reopening,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-07-10,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-07-10,California,New Restrictions Imposed,Statewide,New Business Closures or Limits
2020-07-10,Michigan,Paused,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-07-10,New York,Proceeding with Reopening,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-07-13,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-07-13,New York,Proceeding with Reopening,Statewide,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-07-13,California,New Restrictions Imposed,Statewide,New Business Closures or Limits
2020-07-13,Michigan,Paused,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-07-15,Michigan,Paused,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-07-15,California,New Restrictions Imposed,Statewide,New Business Closures or Limits
2020-07-15,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-07-15,New York,Proceeding with Reopening,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-07-16,New York,Proceeding with Reopening,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-07-16,Michigan,Paused,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-07-16,California,New Restrictions Imposed,Statewide,New Business Closures or Limits
2020-07-16,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-07-17,California,New Restrictions Imposed,Statewide,New Business Closures or Limits
2020-07-17,New York,Proceeding with Reopening,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-07-17,Michigan,Paused,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-07-17,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-07-20,New York,Proceeding with Reopening,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-07-20,California,New Restrictions Imposed,Statewide,New Business Closures or Limits
2020-07-20,Michigan,Paused,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-07-20,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-07-21,New York,Proceeding with Reopening,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-07-21,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-07-21,California,New Restrictions Imposed,Statewide,New Business Closures or Limits
2020-07-21,Michigan,Paused,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-07-23,New York,Proceeding with Reopening,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-07-23,Michigan,Paused,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-07-23,California,New Restrictions Imposed,Statewide,New Business Closures or Limits
2020-07-23,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-07-27,California,New Restrictions Imposed,Statewide,New Business Closures or Limits
2020-07-27,Michigan,Paused,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-07-27,New York,Proceeding with Reopening,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-07-27,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-07-28,California,New Restrictions Imposed,Statewide,New Business Closures or Limits
2020-07-28,New York,Proceeding with Reopening,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-07-28,Michigan,Paused,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-07-28,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-07-30,Michigan,New Restrictions Imposed,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-07-30,New York,Proceeding with Reopening,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-07-30,California,New Restrictions Imposed,Statewide,New Business Closures or Limits
2020-07-30,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-08-03,Michigan,New Restrictions Imposed,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-08-03,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-08-03,California,New Restrictions Imposed,Statewide,New Business Closures or Limits
2020-08-03,New York,Proceeding with Reopening,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-08-05,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-08-05,Michigan,New Restrictions Imposed,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-08-05,New York,Proceeding with Reopening,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-08-05,California,New Restrictions Imposed,Statewide,New Business Closures or Limits
2020-08-11,California,New Restrictions Imposed,Statewide,New Business Closures or Limits
2020-08-11,New York,Proceeding with Reopening,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-08-11,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-08-11,Michigan,New Restrictions Imposed,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-08-31,New York,Proceeding with Reopening,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-08-31,Michigan,New Restrictions Imposed,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-08-31,California,New Restrictions Imposed,Statewide,New Business Closures or Limits
2020-08-31,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-09-02,Michigan,New Restrictions Imposed,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-09-02,California,New Restrictions Imposed,Statewide,New Business Closures or Limits
2020-09-02,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-09-02,New York,Proceeding with Reopening,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-09-08,California,New Restrictions Imposed,Statewide,New Business Closures or Limits
2020-09-08,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-09-08,New York,Proceeding with Reopening,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-09-08,Michigan,New Restrictions Imposed,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-09-14,New York,Proceeding with Reopening,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-09-14,Michigan,New Restrictions Imposed,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-09-14,California,Proceeding with Reopening,Statewide,New Business Closures or Limits
2020-09-14,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-09-22,Michigan,New Restrictions Imposed,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-09-22,California,Proceeding with Reopening,Statewide,New Business Closures or Limits
2020-09-22,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-09-22,New York,Proceeding with Reopening,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-09-24,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-09-24,California,Proceeding with Reopening,Statewide,New Business Closures or Limits
2020-09-24,Michigan,New Restrictions Imposed,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-09-24,New York,Proceeding with Reopening,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-10-01,New York,Proceeding with Reopening,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-10-01,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-10-01,California,Proceeding with Reopening,Statewide,New Business Closures or Limits
2020-10-01,Michigan,New Restrictions Imposed,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-10-05,California,Proceeding with Reopening,Statewide,New Business Closures or Limits
2020-10-05,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-10-05,Michigan,New Restrictions Imposed,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-10-05,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-10-22,California,Proceeding with Reopening,Statewide,New Business Closures or Limits
2020-10-22,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-10-22,Michigan,New Restrictions Imposed,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-10-22,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-10-23,California,Proceeding with Reopening,Statewide,New Business Closures or Limits
2020-10-23,Michigan,New Restrictions Imposed,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-10-23,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-10-23,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-10-27,California,Proceeding with Reopening,Statewide,New Business Closures or Limits
2020-10-27,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-10-27,Michigan,New Restrictions Imposed,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-10-27,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-11-02,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-11-02,Michigan,New Restrictions Imposed,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-11-02,California,Proceeding with Reopening,Statewide,New Business Closures or Limits
2020-11-02,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-11-06,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-11-06,Michigan,New Restrictions Imposed,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-11-06,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-11-06,California,Proceeding with Reopening,Statewide,New Business Closures or Limits
2020-11-11,Michigan,New Restrictions Imposed,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-11-11,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-11-11,California,Proceeding with Reopening,Statewide,New Business Closures or Limits
2020-11-11,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-11-13,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-11-13,Michigan,New Restrictions Imposed,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-11-13,California,Proceeding with Reopening,Statewide,New Business Closures or Limits
2020-11-13,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-11-16,Michigan,New Restrictions Imposed,Lifted,Some Non-Essential Businesses Permitted to Reopen
2020-11-16,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-11-16,California,Proceeding with Reopening,Statewide,New Business Closures or Limits
2020-11-16,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-11-20,California,Proceeding with Reopening,Statewide,New Business Closures or Limits
2020-11-20,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-11-20,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-11-20,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-11-30,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-11-30,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-11-30,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-11-30,California,New Restrictions Imposed,Statewide,New Business Closures or Limits
2020-12-01,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-12-01,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-12-01,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-12-01,California,New Restrictions Imposed,Counties of High Transmission (New),New Business Closures or Limits
2020-12-09,California,New Restrictions Imposed,Regions of High Transmission,New Business Closures or Limits
2020-12-09,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-12-09,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-12-09,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-12-11,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-12-11,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-12-11,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-12-11,California,New Restrictions Imposed,Regions of High Transmission,New Business Closures or Limits
2020-12-14,California,New Restrictions Imposed,Regions of High Transmission,New Business Closures or Limits
2020-12-14,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-12-14,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-12-14,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-12-17,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-12-17,California,New Restrictions Imposed,Regions of High Transmission,New Business Closures or Limits
2020-12-17,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-12-17,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-12-18,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2020-12-18,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-12-18,California,New Restrictions Imposed,Regions of High Transmission,New Business Closures or Limits
2020-12-18,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-12-20,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-12-20,California,New Restrictions Imposed,Regions of High Transmission,New Business Closures or Limits
2020-12-20,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2020-12-20,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2021-01-04,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-04,California,New Restrictions Imposed,Regions of High Transmission,New Business Closures or Limits
2021-01-04,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-04,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2021-01-08,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-08,California,New Restrictions Imposed,Regions of High Transmission,New Business Closures or Limits
2021-01-08,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-08,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2021-01-11,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-11,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2021-01-11,California,New Restrictions Imposed,Regions of High Transmission,New Business Closures or Limits
2021-01-11,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-12,California,New Restrictions Imposed,Regions of High Transmission,New Business Closures or Limits
2021-01-12,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-12,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2021-01-12,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-14,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-14,California,New Restrictions Imposed,Regions of High Transmission,New Business Closures or Limits
2021-01-14,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2021-01-14,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-15,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-15,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2021-01-15,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-15,California,New Restrictions Imposed,Regions of High Transmission,New Business Closures or Limits
2021-01-19,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-19,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2021-01-19,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-19,California,New Restrictions Imposed,Regions of High Transmission,New Business Closures or Limits
2021-01-21,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-21,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2021-01-21,California,New Restrictions Imposed,Regions of High Transmission,New Business Closures or Limits
2021-01-21,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-22,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-22,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2021-01-22,California,New Restrictions Imposed,Regions of High Transmission,New Business Closures or Limits
2021-01-22,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-25,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2021-01-25,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-25,California,New Restrictions Imposed,Regions of High Transmission,New Business Closures or Limits
2021-01-25,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-26,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-26,California,New Restrictions Imposed,During Curfew Hours,New Business Closures or Limits
2021-01-26,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-26,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2021-01-28,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2021-01-28,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-28,California,New Restrictions Imposed,During Curfew Hours,New Business Closures or Limits
2021-01-28,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-29,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-29,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-01-29,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2021-01-29,California,New Restrictions Imposed,During Curfew Hours,New Business Closures or Limits
2021-02-01,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2021-02-01,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-02-01,California,New Restrictions Imposed,During Curfew Hours,New Business Closures or Limits
2021-02-01,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-02-03,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-02-03,California,New Restrictions Imposed,During Curfew Hours,New Business Closures or Limits
2021-02-03,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-02-03,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2021-02-09,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2021-02-09,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-02-09,California,New Restrictions Imposed,During Curfew Hours,New Business Closures or Limits
2021-02-09,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-02-11,California,New Restrictions Imposed,During Curfew Hours,New Business Closures or Limits
2021-02-11,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-02-11,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2021-02-11,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-02-12,Texas,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-02-12,California,New Restrictions Imposed,During Curfew Hours,New Business Closures or Limits
2021-02-12,New York,New Restrictions Imposed,Rolled Back to High Risk Groups,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity
2021-02-12,Michigan,New Restrictions Imposed,Lifted,New Business Closures or Limits
2021-02-16,California,Easing Restrictions,Lifted,Some Non-Essential Businesses Open with Limits
2021-02-16,New York,Easing Restrictions,Lifted,All Non-Essential Businesses Open with Limits
2021-02-16,Michigan,Easing Restrictions,Lifted,All Non-Essential Businesses Open with Limits
2021-02-16,Texas,Easing Restrictions,Lifted,All Non-Essential Businesses Open with Limits
2021-02-22,New York,Easing Restrictions,Lifted,All Non-Essential Businesses Open with Limits
2021-02-22,Michigan,Easing Restrictions,Lifted,All Non-Essential Businesses Open with Limits
2021-02-22,California,Easing Restrictions,Lifted,Some Non-Essential Businesses Open with Limits
2021-02-22,Texas,Easing Restrictions,Lifted,All Non-Essential Businesses Open with Limits
2021-03-01,Texas,Reopened,Lifted,All Non-Essential Businesses Open
2021-03-01,California,Easing Restrictions,Lifted,Some Non-Essential Businesses Open with Limits
2021-03-01,Michigan,Easing Restrictions,Lifted,All Non-Essential Businesses Open with Limits
2021-03-01,New York,Easing Restrictions,Lifted,All Non-Essential Businesses Open with Limits
2021-03-03,Michigan,Easing Restrictions,Lifted,All Non-Essential Businesses Open with Limits
2021-03-03,California,Easing Restrictions,Lifted,Some Non-Essential Businesses Open with Limits
2021-03-03,Texas,Reopened,Lifted,All Non-Essential Businesses Open
2021-03-03,New York,Easing Restrictions,Lifted,All Non-Essential Businesses Open with Limits
2021-03-08,Texas,Reopened,Lifted,All Non-Essential Businesses Open
2021-03-08,California,Easing Restrictions,Lifted,Some Non-Essential Businesses Open with Limits
